submission_date,state,tot_cases,tot_death
12/1/20,FL,997649,19905
2/10/22,NY,2597837,26473
7/17/21,TX,3027139,51640
12/28/20,WV,81436,1263
4/8/20,IN,5943,203
12/28/20,NM,138659,2290
5/30/21,IA,371384,6055
2/17/20,TN,0,0
12/26/21,RMI,4,0
9/24/20,RMI,0,0
3/16/20,MA,197,0
12/11/21,MP,1774,5
6/23/20,GU,226,5
3/6/22,PA,2761697,43525
1/13/21,NYC,515913,25799
12/27/21,UT,628310,3770
3/29/20,NY,25745,119
10/25/21,PR,183835,3218
6/17/22,WV,525086,7017
6/2/22,PW,5083,6
4/9/22,GU,47565,352
5/19/21,NY,1143571,19666
3/8/22,PR,474930,4140
6/13/20,NY,173137,8489
8/13/22,AK,275542,1296
8/19/20,TX,557256,13463
9/20/22,MP,13166,40
11/23/21,PR,187581,3266
7/21/22,HI,313805,1536
6/14/22,TX,6952232,86922
7/28/22,HI,317785,1559
8/31/22,IA,843034,9940
9/6/21,AL,723024,13848
4/6/21,TX,2800254,48981
3/9/21,ND,100615,1452
4/25/22,IN,1699213,23552
2/3/21,PR,96326,1852
9/1/20,AS,0,0
7/2/22,PW,5237,6
5/11/22,PR,581782,4240
3/21/20,OK,803,6
8/30/21,TX,3561407,55404
8/4/20,AL,93113,2471
7/14/21,AR,360258,5977
9/21/20,OK,84149,1264
4/10/20,OK,2552,102
9/12/20,SD,16437,183
11/20/20,AL,228480,5064
9/8/20,AR,66757,917
8/3/20,PW,0,0
12/19/21,FL,3803097,62770
4/15/21,PA,1099655,25566
3/9/20,NY,125,0
7/7/22,NYC,2628033,40832
6/8/20,TX,75616,2126
3/14/20,NY,311,0
2/27/22,WV,488359,6308
9/9/20,AL,133472,3592
10/7/20,FL,711147,16700
11/27/21,GA,1661591,30358
8/10/22,RMI,189,1
1/2/21,NY,569204,12798
4/18/22,OH,2681437,38266
10/23/20,AR,104135,1782
7/3/22,WA,1671567,13275
5/6/20,PW,0,0
10/15/20,PR,29386,747
2/2/20,OH,0,0
6/8/22,TN,2076484,26508
6/10/20,AL,22626,1022
9/13/20,NY,206563,8992
2/28/21,ND,99852,1445
8/20/20,HI,6048,45
10/19/20,OH,183624,5075
8/8/22,TN,2224286,27125
6/8/21,GU,8224,139
9/17/22,MP,13155,40
4/2/20,IN,3039,78
8/8/22,RMI,76,0
3/21/20,NY,4145,21
5/23/21,WA,427745,5702
9/17/21,KS,396907,5865
1/22/20,MP,0,0
1/7/22,SD,189411,2522
2/18/21,ND,99153,1435
1/3/22,IA,587386,7858
3/7/21,GU,7751,133
3/28/22,WV,497459,6743
8/12/20,PW,0,0
9/14/22,GU,58352,394
7/19/21,RMI,4,0
4/6/21,AL,516516,11036
5/23/21,OH,1097300,19709
1/3/21,AK,46698,289
7/22/22,GU,54163,377
12/7/20,WV,56128,841
8/19/22,GU,57206,389
3/7/21,MS,299102,7074
5/9/22,CO,1445032,12489
9/18/20,NYC,242321,23479
5/3/21,OK,449692,7261
3/28/20,WA,4017,189
9/28/20,AK,7664,68
12/17/20,PA,537851,13392
4/13/20,PR,486,37
1/24/21,PW,0,0
2/3/21,MP,133,2
5/6/21,OH,1080121,19344
8/10/21,TX,3245115,52555
5/6/22,KS,778045,8691
4/29/22,NYC,2371778,40200
12/30/20,OK,321373,4509
11/5/21,UT,560604,3286
2/25/22,TN,2000829,24469
7/27/21,SD,125176,2041
9/12/20,UT,58203,432
2/6/22,TN,1934971,23029
10/11/21,WA,684740,8064
9/20/20,PA,156356,7956
6/26/20,WV,2730,92
5/8/20,PR,944,100
8/23/21,TN,995906,13204
1/16/21,MP,128,2
12/19/20,SD,94336,1350
7/21/22,AK,269068,1275
1/1/21,HI,21258,287
9/28/22,GU,58564,401
8/25/21,UT,457098,2605
2/27/22,FL,5806502,72468
7/1/21,SD,124561,2038
3/30/22,OK,1033848,14010
10/30/21,WA,726762,8628
6/7/20,TN,26075,417
5/24/20,TX,55348,1732
4/7/21,KS,303767,4932
4/9/21,AR,331882,5661
4/24/20,PW,0,0
8/3/22,RMI,67,0
11/22/20,AR,145173,2357
4/5/20,TX,6793,223
6/10/22,GA,2588857,38290
4/9/22,TX,6691401,86240
5/2/21,PR,134555,2308
3/5/20,MS,8,1
6/17/22,AS,6342,31
9/21/20,FL,673061,15778
5/8/21,AK,66196,343
2/18/22,AL,1271543,18875
10/15/20,UT,90461,529
4/27/22,MP,11263,34
1/18/21,GU,7515,125
11/28/21,PA,1725902,33283
10/15/21,SD,149996,2189
9/19/21,FL,3525197,56515
9/25/20,SD,20554,216
4/6/22,IN,1692248,23460
11/22/20,ND,73397,846
3/22/20,AS,0,0
4/9/22,NM,518941,7361
8/13/21,GA,1252615,21978
12/12/20,OH,553461,7477
12/7/21,WV,302120,5021
12/15/21,IN,1170950,18272
4/23/22,OK,1039415,14173
10/14/21,AL,808175,15853
5/14/21,UT,402005,2256
5/8/22,AR,837154,11408
4/17/20,HI,564,9
9/29/22,WA,1814934,14312
9/3/20,PW,0,0
3/18/22,GU,46723,341
2/7/22,MS,768457,11285
4/17/22,GU,47776,354
6/2/21,IN,744474,13620
1/25/21,RMI,4,0
3/5/20,AS,0,0
10/14/21,TX,4149312,67202
4/6/22,GA,2502192,37225
12/5/21,PA,1779151,33902
2/16/20,ND,0,0
9/30/20,NYC,247299,23530
8/4/21,NYC,983767,33564
4/21/21,PA,1124952,25827
12/17/21,WA,800086,9674
10/25/20,FL,766348,17582
7/9/20,UT,28054,209
7/23/22,NY,3066216,28430
8/4/20,PR,8504,238
3/25/20,PR,1,1
4/24/22,NM,521018,7442
11/26/20,IA,222797,2312
5/6/22,UT,935479,4760
2/7/22,WA,1353953,11099
10/15/21,UT,529147,3067
11/4/21,TX,4236624,70432
7/4/21,TX,2994471,51498
1/26/20,CO,0,0
11/5/21,PW,10,0
1/23/20,AS,0,0
5/25/22,CO,1470688,12516
3/26/21,NY,1006478,18665
10/13/20,NM,33713,865
9/29/20,TX,743284,16850
